代码,最新价,涨跌,涨跌幅,成交量,持仓量,IV,IV涨跌幅,行权价
10004281.SH,0.3298,-0.0076,-2.25,156,831,0.5523,0.0172,2.55
10004282.SH,0.279,-0.0093,-3.23,149,640,0.3641,-0.1313,2.6
10004283.SH,0.228,-0.0123,-5.12,757,1513,0.3065,-0.0115,2.65
10004284.SH,0.1785,-0.0105,-5.56,1320,1833,0.3232,0.2965,2.7
10004285.SH,0.1289,-0.0081,-5.91,12588,3655,0.228,0.2993,2.75
10004286.SH,0.079,-0.0128,-13.94,80559,22131,0.1083,-0.4031,2.8
10004287.SH,0.0356,-0.0126,-26.14,212598,47045,0.1674,-0.0498,2.85
10004288.SH,0.0096,-0.0075,-43.86,235922,111341,0.1737,0.0361,2.9
10004289.SH,0.0014,-0.0027,-65.85,62307,100949,0.1792,0.0418,2.95
10004317.SH,0.0004,-0.0004,-50,22256,128749,0.2186,0.1943,3
10004325.SH,0.0002,-0.0001,-33.33,8754,134079,0.3308,0.2257,3.1
10004329.SH,0.0002,-0.0001,-33.33,3244,109234,0.4544,0.257,3.2
10004337.SH,0.0001,-0.0001,-50,2443,72539,0.4552,0.0565,3.3
10004385.SH,0.0001,-0.0001,-50,1289,58601,0.5219,0.0725,3.4
